📍 See this list on Google Maps,,,,Donate to keep MALAN running! ,,,,,,,
,,,"This is not an exhaustive list. Info will be updated as we are able to. Please reach out to the organizers directly for clarifying questions. If you have additional resources, please add them to this MALAN Instagram post and we will add it to this list! https://www.instagram.com/p/DEjhEgiRE9y/",,,,,,,,
Remote,1/10 6:00 PM,Disability and Disaster Hotline,"Information, Services",,,,,"Call or Text the Disability and Disaster Hotline: 800-626-4959
Email: hotline@disasterstrategies.org

connecting disabled disaster survivors to resources","led by disabled people, for disabled people before, during, and after disasters and emergencies

The hotline also can provide accessible and multilingual information to callers, including via videophone for Deaf callers, upon request to hotline@disasterstrategies.org.",Instagram,
Hollywood,1/10 5:45 PM,We are Friends and Family,Donation Drives,"5150 Hollywood Blvd, Los Angeles, CA 90027",,,"small/travel sized toiletries- eye drops, tampons, pads -heavy flow, toothbrushes, deodorant, wet wipes, bar soap, chapsticks, aloe vera gels, masks, 16oz water bottles ideal, electrolytes single portions, halls or ricola cough drops for Saturday 01/11/25 8am -3pm",,,Instagram,
San Francisco,1/10 6:07 PM,Emotion Potion,Donation Drives,"591 Guerrero St, San Francisco, CA",,,"n95 masks, hygiene products, packs of socks and underwear",,Open 12-6pm Saturday 1/11 and Sunday 1/12,Instagram,
Los Angeles,1/10 3:30 PM,One Down Dog,Donation Drives,"319 Glendale Blvd, Los Angeles, CA 90026",,,"Canned goods, non-perishables, diapers, pads/tampons, deodorant, toothbrushes, toothpaste, socks, balnkets",,"Donations on Saturday 01/11 and Suday, 01/12 at Echo Park location,  Donations on Monday, 01/13 at Eagle Rock AND East Hollywood locations",Instagram,
San Francisco,1/10 6:15 PM,Muttville,"Services, Animal Boarding","750 Florida St, San Francisco, CA 94110","Yes, transportation for senior dogs",Drivers to transport displaced senior dogs to Muttville shelter,,,Fill out this form to volunteer,Instagram,
East LA,1/10 6:27 PM,BYO Games,Donation Drives,"3555 E 1st St, Los Angeles, CA 90063",,,"pet food, shelf stable food, water, hygiene products",,4:30-8:30pm Friday 1/10,,
Huntington Park,1/10 6:30 PM,Midnight Books,Donation Drives,"3382 E Florence Ave, Huntington Park, CA 90255",,Assembling hygiene kits,"hygiene products, menstrual products, batteries, water, pet food, shelf stable food",,1/11 at 12pm,Instagram,
Greater LA Area,1/10 6:00 PM,Santa Anita Mall ,Donation Drives,"400 S. Baldwin Ave, Arcadia, CA 91007 South Side, Lot B",,,,,Replaced Rose Bowl's Donation Center,Instagram,
Mid-City,1/10 7:00 PM,TheWalkGoodYard,"Donation Drives, Wifi/Charging","4019 W Pico Blvd, Los Angeles, California 90019",,"""We will call for volunteers as needed"" - check Instagram page for updates","gift cards, non-perishable food, bottled water, blankets, socks, toiletries, towels, N95 masks, hand sanitzer, new or lightly used clothing","if you’ve been displaced by the fires, are a firefighter, first responder, local reporter, journalist on the frontlines, our studio is open from 11am-8pm to rest and recharge. We will have water available, free WiFi and a place to charge your phone.","We are in collaboration with The Getty House Foundation, who are providing key supply donations to help as many affected Angelenos in need.

Head to the link in our bio to find the active donation list. If you or someone you know is in need of specific items or supplies, please comment below or DM us. We will add this request to the list. So if you are donating, PLEASE CHECK BACK AT THIS LINK.

Donation packaging and distribution with The Getty House Foundation will occur after January 12th. We will be making open calls for volunteers as needed",Instagram,
El Monte,1/10 6:37 PM,Community Resource Center,"Services, Donation Drives","3570 Santa Anita Ave, El Monte, CA ",,,,"baby supplies, emergency kits, onsite resource referrals","1/11 9am-1pm, also offer free services M-F from 9am to 5pm",,
Crenshaw,1/10 7:33 PM,Reparations Club,"Free Items, Wifi/Charging","3054 S. Victoria Ave., Los Angeles, California 90016",,"In immediate need of trustworthy temporary foster care for 2 large, but docile dogs. Both house trained. DM for more info. - Check Instagram post for more details",Donations of mutual aid funds: Venmo: @repclub Cashapp: $repclub,"KN95 masks, bottled water, wifi, safe space to gather, books & music, beloved community","Open during regular business hours unless otherwise stated
Business Hours: Tuesday to Saturday: 11am - 6pm / Sunday: 12 - 5pm",Instagram,
DTLA,,Arts District Brewing,Donation Drives,"828 Traction Ave
Los Angeles, CA 90013",,,Bin up front for clothing and supplies donations,,,Instagram,
Los Angeles,1/10 8:15 PM,Polos Pantry & IDEPSCA,Donation Drives,"1565 W 14th St, Los Angeles, CA 90015",,,"canned foods, all warm clothes, toiletries, children toys, sleeping bags, portable chargers, air purifiers, bottled waters, flashlights",,"Sat (Jan 11) from 1-3PM 

Support Families Impacted by L.A. Fires. The fires in Los Angeles have devastated countless families, and it’s crucial we come together to support not just those who lost their homes, but also the workers—domestic laborers, cooks, and cleaners—who are often left behind in these relief efforts.

IDPESCA (Instituto de Educacion Popular Del Sur De California) is stepping up to ensure these overlooked communities get the support they need during this crisis. Let’s take action to help families rebuild and recover.",Instagram,
Greater LA Area,1/10 7:49 PM,Mutt Scouts,Animal Boarding,,"Yes, shelter for pets",,pet supplies,"Temporary placement for pets, fosters on standby","Email adopt@muttscouts.org for more details:
""If you have a dog you need help with or would like to donate supplies please send an email to adopt@muttscouts.org. It’s hard for our small team to keep up with all our DMs!""",Instagram,
Los Angeles,,Inner City Struggle,"Distribution Hub, Free Items, Information","East LA Civic Center
4801 E. 3rd Street
Los Angeles, CA  90022",,,,"Food distribution, water, emergency kits, hygiene kits, mobile clinic, battery packs, diapers, Metro Tap Cards, Immigration & Legal Aid & more",Saturday (Jan 11 from 10am - 2pm),Instagram,
Glendale,,Pacific Community Center (CLOSED),Shelter,"501 S. Pacific Avenue
Glendale, CA 91204",,Needed to help in kitchen Sat & Sun. Various shifts; 5:30 AM - 8PM ,,,14+; Register required or email volunteer@urm.org,,1
Los Angeles,,Westwood Recreation Center (FULL),Shelter,"1350 S. Sepulveda Blvd.
Los Angeles, CA 90025",,,NO LONGER ACCEPTING DONATIONS,,(9:11pm 1/8 - AT CAPACITY),,1
Woodland Hills ,,Pierce College Equestrian Center (FULL),Animal Boarding,"6201 Winnetka Ave
Woodland Hills, CA 91371",Large Animals,,,,UPDATE 01/08/25 3:45P - FULL ,,1
Burbank,,LA Equestrian Center Large Animal Shelter (FULL),Animal Boarding,"480 W. Riverside Drive 
Burbank, CA 91506",Large Animals,,,,OUT OF SPACE (Updated 1/9/24 at 10:38PM),,1
Altadena,,World Central Kitchen: Sereno Altadena (CLOSED),Free Prepared Meals,"Sereno Ave
2234 El Sereno Ave, Altadena CA, 91001",,,,Meal Service: 3:30pm - 8:30pm,,,1
Pasadena,,Rose Bowl Stadium (FULL),Shelter,"10001 Rose Bowl Drive
Pasadena, CA 91103",Horses,,,,,Link,1
Pasadena,,World Central Kitchen: Passadena (CLOSED),Free Prepared Meals,"Pasadena Convention Center
300 E Green St, Pasadena, CA 91101",,,,Meal Service: 8am - 10pm,,,1
Venice,,Fiorelli Pizza (ENDED),Free Prepared Meals,"1039 Abbot Kinney Blvd, Venice, CA 90291",,,,"offer free pizzas to first responders and families that have been displaced by the fires.
(updated 01/09/25 1:30p)",,https://www.latimes.com/food/list/los-angeles-restaurants-providing-food-shelter-evacuees-first-responders-fire,1
Los Angeles,1/10 3:45 PM,Direct Relief  (ENDED),Free Items,,,,,Providing N95 Masks (each person may recieve up to 2),"01/09/25 1:00pm-5:00pm
(updated 01/09/25 12p)

""433 S Vermont Ave, Los Angeles, CA 90020 (Koreatown YMCA Center)
4301 W. 3rd Street, Los Angeles CA 90020 (Anderson Munger Family YMCA)""",https://www.instagram.com/p/DEk4-HdPSuX/?igsh=NTc4MTIwNjQ2YQ==,1
Woodland Hills ,1/10 4:30 PM,El Camino Real Charter High School (CLOSED),Shelter,"5440 Valley Circle Road
Woodland Hills, CA 91367",,,,,,Instagram,1
Los Angeles,,Dudley Market (ENDED),Free Prepared Meals,"9 Dudley Ave. Venice, California
",,,,Dudley Market will be open for dinner service with three air filters running and free food for first responders and those displaced by the fires.,,https://www.latimes.com/food/list/los-angeles-restaurants-providing-food-shelter-evacuees-first-responders-fire,1
Los Angeles,01/10 3:00 PM,Picaresca Barra De Cafe & Casa Tostadora (FULL),Distribution Hub,"2931 e 4th st, East Los Angeles, California 90033",,,"Masks, clean clothes-coats, jackets and blankets, non-perishable food, First aids, pet supplies, women's sanitary products",,,Instagram,1
DTLA,1/10 5:00 PM,Sonoritas Prime Tacos (ENDED),Free Prepared Meals,"1050 Flower St, Los Angeles, CA 90015",,,,"One free taco to first responders and displaced people, more available on a case by case basis ",,https://docs.google.com/spreadsheets/d/1KMk34XY5dsvVJjAoD2mQUVHYU_Ib6COz6jcGH5uJWDY/edit?gid=0#gid=0,1
Sawtelle,1/10 5:00 PM,Sonoritas Prime Tacos (ENDED),Free Prepared Meals,"2004 Sawtelle Blvd, Los Angeles, CA 90025",,,,,,https://docs.google.com/spreadsheets/d/1KMk34XY5dsvVJjAoD2mQUVHYU_Ib6COz6jcGH5uJWDY/edit?gid=0#gid=0,1
Los Angeles,1/10 6:00 PM,"USAC General Representative1 and 2
(ENDED)",Free Items," Kerkhoff Hall, 308 Westwood Plaza, Los Angeles, CA 90095",,,Accepting donations,"masks, fool & snacks, water, energy drinks, coffee, destress equipment, personal hygiene products, sunglasses, and fire safety & additional mutual aid resource information
(updated 01/09/25 2:45p)","Friday 1/10 9am-noon. Kerkhoff Hall, 308 Westwood Plaza, Los Angeles, CA 90095",Instagram,1
Los Angeles,1/10 5:30 PM,Venice Surfing Assocaition (FULL),"Distribution Hub, Free Items","648 Rose Ave. Venice, CA",,,"AT DONATION CAPACITY
(updated 01/09/25 1:45p)","Children's clothing, bedding, toiletries, diapers, jackets, water, batteries, and more
(updated 01/09/25 1:45p)",,Instagram,1
Los Angeles,1/10 5:30 PM,Alma's Cider (FULL),Distribution Hub,"904 Virgil Ave, Los Angeles, CA 90029",,,"Drop off essential items such as t-shirts, pants, jackets, new underwear and socks, children's clothing, MASKS!, snacks, bottled water, blankets, etc to the bar from 5pm -12 am. ",,,,1
Los Angeles,1/10 6:00 PM,Big Blue Bus (ENDED),Free Items,Lincoln Boulevard and Montana Avenue in Santa Monica.,,,,free hourly transportation to the Westwood Recreation Center. The pickup location is Lincoln Boulevard and Montana Avenue in Santa Monica.,,https://x.com/SMBigBlueBus/status/1877127465396744601?mx=2,1
Los Angeles,1/10 7:15 PM,Zebulon Cafe LA (ENDED),Distribution Hub,"2478 Fletcher Dr, Los Angeles, CA 90039",,,"NO MORE CLOTHING - EXCEPT:
new socks and underwear (all sizes, all genders)",,"between 10am & 2pm on Friday, Jan 10th, at the Zebulon parking lot",Instagram,1
Los Angeles,1/10 7:15 PM,UCLA EVP (ENDED),Free Items,Kerckhoff 300C; UCLA Campus ,,,,Masks available until supplies run out,,,1
